cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,260,1,28308179.389999997,100000000661912100;100000003131016100;100000008576243100;100000002398779100;100000004299488100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (166/260); seed=1.
1,169,5,22321373.85,100000002741024100;100000007629096100;100000003684369100;100000004539443100;100000008165763100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (118/169); seed=5.
2,121,4,19946834.02,100000001677929100;100000004221668100;100000002394199100;100000005171642100;100000001616816100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (72/121); seed=4.
3,166,8,22599859.560000002,100000000706545100;100000006901046100;100000003886323100;100000007749092100;100000005339662100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (101/166); seed=8.
4,104,1,21747439.59,100000006443391100;100000002838861100;100000006385877100;100000002812641100;100000002613929100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (83/104); seed=1.
5,5,0,1189154.0,100000004691350100;100000000291906100;100000000291908100;100000004670388100;100000004722630100,Преобладают периферийные узлы; доминирует peripheral (2/5); seed=0.
6,53,1,3021863.0,100000004692798100;100000000831684100;100000001899164100;100000002193259100;100000000297649100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (34/53); seed=1.
7,120,0,16045757.0,100000005140601100;100000001600934100;100000008603629100;100000005367180100;100000008097580100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (81/120); seed=0.
8,6,1,1615030.0,100000008659445100;100000008736940100;100000008751429100;100000005456919100;100000008193577100,Преобладают периферийные узлы; доминирует peripheral (4/6); seed=1.
9,129,1,26275380.330000002,100000008324800100;100000007390016100;100000004759121100;100000006844768100;100000001611488100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (94/129); seed=1.
10,69,1,7400997.0,100000002941114100;100000005168487100;100000003115284100;100000003360542100;100000003622955100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (42/69); seed=1.
11,50,3,4135421.0,100000005074393100;100000006424479100;100000003270419100;100000001236706100;100000000375150100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (29/50); seed=3.
12,15,0,850450.0,100000008471634100;100000002472632100;100000001526235100;100000000404740100;100000007811950100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (8/15); seed=0.
13,15,0,3626010.0,100000008461532100;100000003470579100;100000000791285100;100000002514975100;100000006704530100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (11/15); seed=0.
14,24,0,3340669.0,100000008213966100;100000000838385100;100000007382543100;100000004017410100;100000005767403100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (12/24); seed=0.
15,1,1,0.0,100000000456947100,Преобладают периферийные узлы; доминирует peripheral (1/1); seed=1.
16,61,0,4350466.67,100000005704413100;100000008136608100;100000003671721100;100000004655046100;100000008335401100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (49/61); seed=0.
17,7,0,143000.0,100000005911352100;100000003962994100;100000002217806100;100000004549591100;100000004508696100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (4/7); seed=0.
18,8,0,2473417.91,100000008175078100;100000008675322100;100000000557536100;100000008349740100;100000004911971100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (7/8); seed=0.
19,17,1,21586840.0,100000002224132100;100000004603109100;100000004892144100;100000000594783100;100000000552584100,Преобладают периферийные узлы; доминирует peripheral (11/17); seed=1.
20,270,1,10178044.0,100000002733905100;100000001166289100;100000005342513100;100000002527114100;100000001697501100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (254/270); seed=1.
21,6,1,1527967.0,100000000580561100;100000007939160100;100000005183943100;100000007930878100;100000000955444100,Преобладают периферийные узлы; доминирует peripheral (3/6); seed=1.
22,51,0,13990812.0,100000002308091100;100000001311175100;100000005242320100;100000004400480100;100000008130868100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (42/51); seed=0.
23,2,0,761255.0,100000004586598100;100000000583220100,Преобладают периферийные узлы; доминирует peripheral (1/2); seed=0.
24,18,0,711010.0,100000004552204100;100000002214207100;100000007322059100;100000003646145100;100000004066370100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (10/18); seed=0.
25,13,1,1392916.0,100000001380054100;100000004463277100;100000003164661100;100000006232815100;100000004192865100,Преобладают периферийные узлы; доминирует peripheral (7/13); seed=1.
26,41,0,5151924.1899999995,100000002686226100;100000000608031100;100000008327791100;100000002320495100;100000008649416100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (27/41); seed=0.
27,18,0,3422800.0,100000003701161100;100000002267998100;100000003718221100;100000000611474100;100000008027922100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (11/18); seed=0.
28,7,0,3077000.0,100000001053894100;100000002594214100;100000002241986100;100000004047887100;100000001286703100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (6/7); seed=0.
29,4,0,518000.0,100000003163886100;100000002205022100;100000000629812100;100000001380107100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (3/4); seed=0.
30,20,0,617900.0,100000002229615100;100000003154105100;100000006308406100;100000002448088100;100000004777215100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (15/20); seed=0.
31,13,0,6748650.0,100000000673868100;100000008258083100;100000007442518100;100000004673335100;100000003173783100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (10/13); seed=0.
32,17,1,2977887.0,100000004144536100;100000002257794100;100000001330595100;100000004007116100;100000003603979100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (8/17); seed=1.
33,30,0,8045494.0,100000002622822100;100000001887715100;100000002540033100;100000001714173100;100000005241556100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (19/30); seed=0.
34,11,0,3784703.0,100000002175422100;100000003696422100;100000003557488100;100000002710570100;100000002975437100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (6/11); seed=0.
35,3,1,450000.0,100000000769919100;100000002371751100;100000007018630100,Преобладают периферийные узлы; доминирует peripheral (1/3); seed=1.
36,9,0,1406982.0,100000002217161100;100000001445848100;100000007647294100;100000002242066100;100000000954884100,Возможно завершение потоков или обрезка по глубине; доминирует terminal (6/9); seed=0.
37,4,1,1404980.0,100000008601794100;100000001872484100;100000002459163100;100000000785800100,Преобладают периферийные узлы; доминирует peripheral (2/4); seed=1.
