gid,role,role_score,cluster_id,priority_score,evidence,in_deg,out_deg,in_kzt,out_kzt,pagerank,pass_through,depth,is_seed,truncated_by_depth
100000000343175100,coordinator,0.8,10,0.286239062363726,"in_deg=8, out_deg=31, in_kzt=178712, pass_through=22.38; seed: in_kzt занижен по устройству выборки; BC=0.00111 >= p95=0.000158",8,31,178712.0,4000039.0,0.0007166946382018727,22.382598818210305,0,True,False
100000000456947100,peripheral,0.9,15,0.0,"in_deg=0, out_deg=0, in_kzt=0, pass_through=nan; seed: in_kzt занижен по устройству выборки; Нет связей",0,0,0.0,0.0,0.0,,0,True,False
100000000580561100,peripheral,0.4,21,0.055150393342766016,"in_deg=2, out_deg=3, in_kzt=27980, pass_through=53.18; seed: in_kzt занижен по устройству выборки; Нет совпадений",2,3,27980.0,1488077.0,0.0008384348345170707,53.183595425303785,0,True,False
100000001415126100,terminal,0.9,38,0.02704209044628901,"in_deg=1, out_deg=0, in_kzt=27000, pass_through=0; seed: in_kzt занижен по устройству выборки; depth=0: нет выхода",1,0,27000.0,0.0,0.0004114090098163562,0.0,0,True,False
100000001429930100,terminal,0.9,11,0.02315988351410471,"in_deg=1, out_deg=0, in_kzt=26000, pass_through=0; seed: in_kzt занижен по устройству выборки; depth=0: нет выхода",1,0,26000.0,0.0,0.0003523464564592315,0.0,0,True,False
100000001616816100,peripheral,0.4,2,0.1642862251213873,"in_deg=5, out_deg=3, in_kzt=176195, pass_through=1.029; seed: in_kzt занижен по устройству выборки; Нет совпадений",5,3,176195.0,181326.0,0.00244618625473035,1.0291211441868384,0,True,False
100000001732159100,peripheral,0.4,49,0.12294098002114498,"in_deg=2, out_deg=4, in_kzt=2.3781e+06, pass_through=0.6333; seed: in_kzt занижен по устройству выборки; Нет совпадений",2,4,2378100.0,1505966.0,0.001099397432375524,0.633264370716118,0,True,False
100000002527114100,coordinator,0.8,20,0.2600050912476631,"in_deg=3, out_deg=111, in_kzt=129000, pass_through=25.5; seed: in_kzt занижен по устройству выборки; BC=0.000197 >= p95=0.000158",3,111,129000.0,3289249.0,0.0008146179725184579,25.49805426356589,0,True,False
100000002916006100,peripheral,0.4,46,0.11885469782937834,"in_deg=0, out_deg=1, in_kzt=0, pass_through=nan; seed: in_kzt занижен по устройству выборки; Нет совпадений",0,1,0.0,32000.0,0.0002868488506751384,,0,True,False
100000003016635100,coordinator,0.8,3,0.5195850050792219,"in_deg=8, out_deg=73, in_kzt=586981, pass_through=16.04; seed: in_kzt занижен по устройству выборки; BC=0.00734 >= p95=0.000158",8,73,586981.0,9414081.0,0.0011952566810188184,16.038135817002594,0,True,False
100000003200071100,peripheral,0.4,58,0.018854697829378337,"in_deg=0, out_deg=1, in_kzt=0, pass_through=nan; seed: in_kzt занижен по устройству выборки; Нет совпадений",0,1,0.0,30000.0,0.0002868488506751384,,0,True,False
100000003265658100,peripheral,0.9,59,0.0,"in_deg=0, out_deg=0, in_kzt=0, pass_through=nan; seed: in_kzt занижен по устройству выборки; Нет связей",0,0,0.0,0.0,0.0,,0,True,False
100000003349739100,peripheral,0.9,60,0.0,"in_deg=0, out_deg=0, in_kzt=0, pass_through=nan; seed: in_kzt занижен по устройству выборки; Нет связей",0,0,0.0,0.0,0.0,,0,True,False
100000003684369100,coordinator,0.8,1,0.4114651960802966,"in_deg=24, out_deg=62, in_kzt=3.84844e+06, pass_through=2.232; seed: in_kzt занижен по устройству выборки; BC=0.00234 >= p95=0.000158",24,62,3848436.0,8588655.0,0.002028869963852267,2.2317260830113845,0,True,False
100000003770083100,peripheral,0.9,63,0.0,"in_deg=0, out_deg=0, in_kzt=0, pass_through=nan; seed: in_kzt занижен по устройству выборки; Нет связей",0,0,0.0,0.0,0.0,,0,True,False
100000003975102100,peripheral,0.4,3,0.08967220407434187,"in_deg=1, out_deg=2, in_kzt=25650, pass_through=3.45; seed: in_kzt занижен по устройству выборки; Нет совпадений",1,2,25650.0,88500.0,0.000346992529923579,3.4502923976608186,0,True,False
100000003977183100,peripheral,0.4,2,0.04193673175008788,"in_deg=2, out_deg=4, in_kzt=123800, pass_through=6.187; seed: in_kzt занижен по устройству выборки; Нет совпадений",2,4,123800.0,766000.0,0.00033293228527307104,6.187399030694669,0,True,False
